title,summary,url,publisher,image,category,full_story
Is Apple's AirDrop Not Working for You? Here's How to Fix It,"Transferring files and photos between Apple devices is easy with AirDrop, but sometimes it can fail. Here are a few ways to resolve the issue.",https://www.cnet.com/tech/mobile/is-apples-airdrop-not-working-for-you-heres-how-to-fix-it/#ftag=CADf328eec,CNET,https://www.cnet.com/a/img/resize/1984ad513ef57e2acb1adfc44a5f49a4dfa9d087/hub/2025/05/07/e674f320-af2d-4a7f-9424-313b6f9cad30/iphone-airdrop-4765.jpg?auto=webp&fit=crop&height=614&width=1092,Technology,"AirDrop has always been a quick and convenient way to transfer files between Apple's devices. You can use it to easily share photos, documents, videos, audio recordings, contact cards, web links, notes and other data between iPads, iPhones and Macs. You can also use AirDrop to transfer those files to nearby contacts (as long as they have iOS or MacOS) and it works with any iOS device with iOS 7 or newer and Macs running OS X Yosemite or newer.

For a detailed explanation of how to use AirDrop, check out our guide here. But even if you follow these steps, sometimes AirDrop can fail. Here are a few possible reasons why it's not working.

Watch this: All Things Mobile: Our iPhone 16 Pro 7-Month Check-In 06:14

Bluetooth or Wi-Fi isn't on

AirDrop uses both Bluetooth and Wi-Fi to discover devices and share files. So both Bluetooth and Wi-Fi need to be turned on in order for it to work. If even one of the connections is disabled, AirDrop will not work. If you're having trouble with either of these connections, you can try toggling these features off and on again. To do so, simply head to Settings or Control Center and enable both Wi-Fi and Bluetooth.

Personal Hotspot is enabled

If your phone or tablet's Personal Hotspot feature is turned on, that might prevent AirDrop from working. Make sure that's disabled and make sure that the other device also has it turned off. A VPN connection might also create issues with AirDrop. If you're using a VPN, make sure that local networking is allowed. Otherwise, try disabling it in case you're having issues with AirDrop.

You can double-check your AirDrop settings from the Control Center using these menus. Nicole Lee/CNET

AirDrop is set to Receiving Off

Another reason AirDrop might not be working is that your AirDrop settings are incorrect. If you have it as ""Receiving Off,"" no one can AirDrop files to you. To correct this, you need to do the following:

Open the Control Center panel



panel Tap the wireless connection icon

Tap t"
Norwegian investment firm joins AI gold rush to the frozen north,Norwegian industrial investment firm Aker has announced plans to build an AI “factory” in the Arctic. It’s the latest company heading to the far north to tap into abundant green energy and natural cooling for power-hungry data centres.  The facility will be located in the Norwegian coastal town of N,https://thenextweb.com/news/norwegian-investment-firm-joins-ai-gold-rush-to-the-frozen-north,The Next Web (TNW),https://img-cdn.tnwcdn.com/image?fit=796%2C417&amp;url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2025%2F07%2FAI-nordic-data-centre.jpg&amp;signature=acefcaa2971022af8943be0722c1166b,Technology,"Norwegian industrial investment firm Aker has announced plans to build an AI “factory” in the Arctic. It’s the latest company heading to the far north to tap into abundant green energy and natural cooling for power-hungry data centres.

The facility will be located in the Norwegian coastal town of Narvik, which lies 220km within the Arctic Circle. Aker’s president and CEO, Øyvind Eriksen said that the site already had access to 230MW of power and was ready for construction to commence. He added that discussions with potential tech firms and partners for the project were ongoing.

However, Eriksen provided limited details on the facility’s purpose, stating it will “serve as a catalyst for industrial development, job creation, and export revenues.”

“AI and data centres are becoming foundational to global business, and northern Norway is uniquely positioned to benefit,” said Eriksen. “The region offers abundant, affordable hydropower and clean energy, along with the conditions needed to attract investment and foster innovation.”

Aker, which is majority-owned by Norwegian billionaire Kjell Inge Rokke, has a number of AI and software investments under its belt, including in Bitcoin investment firm Seetee and industrial data company Cognite. Eriksen said the AI facility in Narvik would represent an opportunity to “enter a new value chain early.”

Bits meet blizzards

The Nordic region is fast becoming a global hotspot for AI data infrastructure. Last year, Google committed another €1bn to its Hamina campus in southern Finland, marking its seventh expansion. The data centre upgrade aims to support surging demand for AI compute while tapping into the region’s large supplies of renewable energy.

Not far away, Amsterdam-based Nebius announced in October that it’s tripling GPU capacity at its Mäntsälä site in Sweden, where it aims to run 60,000 GPUs for AI applications.

Also in Sweden, Microsoft bet $3.2bn (€2.7bn) to boost its cloud and AI capacity across its three data c"
Here’s your first look at Google Translate’s Conversation mode redesign (APK teardown),Google's bold new look for Translate app will bring flashy visuals — and deeper AI smarts — to conversations.,https://www.androidauthority.com/google-translate-conversation-mode-redesign-apk-teardown-3578323/,Android Authority,https://www.androidauthority.com/wp-content/uploads/2025/06/google-translate.jpg,Technology,"Rita El Khoury / Android Authority

TL;DR Google is set to revamp the Google Translate app’s Conversation mode, featuring Gemini-based branding and smarter AI integration.

Updates include clearer speaker identification, quick language-switch chips, inline translations, and visual tweaks across automatic and manual modes.

Some settings, like toggling manual modes, are now hidden, reducing immediate accessibility.

Google has been working on significant UI updates to the Translate app to better accommodate its upcoming AI-driven features like Insights, Regional variants, Ask a Question, and Practice. But that’s not the only part of the app getting a UI refresh, as we’ve now spotted more changes slated for Google Translate, this time targeting the Conversation mode.

Authority Insights story on Android Authority. Discover You're reading anstory on Android Authority. Discover Authority Insights for more exclusive reports, app teardowns, leaks, and in-depth tech coverage you won't find anywhere else. An APK teardown helps predict features that may arrive on a service in the future based on work-in-progress code. However, it is possible that such predicted features may not make it to a public release.

Google Translate v9.13.97 includes code that overhauls Google Translate’s Conversation mode in various ways. We managed to activate the upcoming changes to give you an early look.

Starting with the main Conversation mode screen, the more straightforward UI is making way for a richer one.

Current Upcoming

In the new UI, we see a prominent “Built with ✦Gemini” branding on the screen, along with a subtle disclaimer at the bottom that generative AI can make mistakes. There are also a few suggestion chips for quickly changing the language of the second speaker, and we reckon these could change depending on the user’s region. There’s a new button for turning auto-playback on and off, which previously needed going into the settings icon on the top right.

Missing in this new "
"Don’t be duped: Verizon, AT&T, and T-Mobile’s cheapest plans aren’t worth it",You might want to pass on an entry-level postpaid plan from one of the big three carriers.,https://www.androidauthority.com/verizon-att-t-mobile-entry-level-plans-not-worth-it-3570833/,Android Authority,https://www.androidauthority.com/wp-content/uploads/2024/05/Phones-showing-Verizon-ATT-and-T-Mobile-logos-stock-photo-4.jpg,Technology,"Edgar Cervantes / Android Authority

Recently, my cousin asked me whether Verizon’s myPlan Unlimited Welcome was better than his legacy plan, prompted by a promotional email he received. At first glance, the new plan looked cheaper and similar in features. But upon closer examination, his legacy plan had notable advantages, especially higher-priority data and a few other perks.

Truthfully, none of the entry-level postpaid plans from Verizon, T-Mobile, or AT&T offer great value in 2025. There are typically better alternatives, regardless of how appealing the carriers make these entry-level plans appear.

Is an entry-level postpaid plan worth it in 2025? 0 votes Yes, it's still cheaper than other postpaid plans. NaN % No, it's better to go with a more expensive postpaid plan. NaN % No, it's better to go with prepaid. NaN % Undecided / Other (Tell us in comments) NaN %

Historically, basic postpaid plans closely mirrored higher-tier plans, minus perks and sometimes data prioritization. Unfortunately, that’s not so true anymore, and yet most customers don’t really understand the differences until it’s too late and they’ve switched off their existing plan.

With that in mind, I wanted to take a closer look at what you’ll be missing with an entry-level plan, as well as what you’re alternatives are.

What you’ll miss out on with entry-level plans from the big three

Edgar Cervantes / Android Authority

Verizon, T-Mobile, and AT&T all offer a fairly similar experience when it comes to their entry-level plans. You’ll get unlimited talk, text, and data, but virtually nothing else beyond that, save for a few smaller perks like Verizon Access and T-Mobile Tuesdays. AT&T and T-Mobile also offer hotspot access, with the former providing 5GB of high-speed access and the latter providing unlimited 3G speeds.

As for what you’ll be missing out on compared to more expensive prepaid plans? There are actually a few things. For starters, you’re not going to find international calling o"
4 Ways Technical Leaders Can Build Smart in Lean Times,"The key lies in striking the right balance between innovation and efficiency, making smarter &quot;build vs buy&quot; decisions, and organizing for AI-driven productivity without sacrificing long-term progress.",https://www.informationweek.com/it-leadership/4-ways-technical-leaders-can-build-smart-in-lean-times,InformationWeek,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt9ba8af94ed024676/682b6c9b56e4a1d61b5d62c6/leader_concept-Christian_Horz_-alamy.jpg?width=1280&auto=webp&quality=80&disable=upscale,Technology,"In today’s uncertain economic environment, enterprise CIOs and CTOs are under tremendous pressure to do more with less. Budgets are tightening. R&D spend is under scrutiny. Hiring freezes mean teams must be stretched further. Add in the disruption and promise of AI, and technical leaders are operating in an environment that demands boldness, innovation, and speed.

Despite today’s headwinds, the mission of technical leaders remains unchanged. They still must scale transformative initiatives, deliver measurable business value, and keep their organizations nimble and resilient. The key lies in striking the right balance between innovation and efficiency, making smarter ""build vs buy"" decisions, and organizing for AI-driven productivity without sacrificing long-term progress.

Know What Matters and What Doesn’t

In economic downturns, technical debt can quietly become your biggest liability. CEOs don’t want to hear about tech debt. They want outcomes. That’s why ruthless prioritization and good hygiene are critical. Focus on what matters most and say no to anything that doesn’t directly tie to business value.

That doesn’t translate to trading quality for quantity. Reserve that mindset only for early-stage proofs of concept. Focus on fewer, more impactful projects that align with strategic priorities. Every new tool or process should pass the litmus test of solving a real business problem while integrating logically, scaling sustainably, and delivering value in a measurable way. Identify and prioritize near-term wins that drive clear business value, like those that improve reliability, reduce cost, and unlock growth.

Related:Organizations Every CIO Should Consider Joining

The key is treating your roadmap like an investment portfolio. Resilience is created by a diversified blend of essential maintenance, incremental improvements, and long-term innovation.

Balance the Now and the Next

Rather than shelving innovation during lean times, technical leaders should rebalan"
Digitalization -- Is It Time for Humans to Intervene?,"In 2025, Camunda, an AI automation company, surveyed companies and found that 82% of respondents were “concerned that a lack of control will lead to digital chaos”. Are companies and CIOs forgetting about the human element as they digitalize?",https://www.informationweek.com/it-leadership/digitalization-is-it-time-for-humans-to-intervene-,InformationWeek,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt7c189b0c73ae8615/68750ba85e24d6688d4c486a/question-_Jezper-alamy-bigger.jpg?width=1280&auto=webp&quality=80&disable=upscale,Technology,"Companies have long regarded digitalization as a means to automate operations and eradicate human error, but are we starting to see an inverse truth?

Poorly integrated systems force customers to iteratively reenter information as they get routed from station to station in a phone call.

Automated billing systems bill twice.

Chat functions take you down paths of no return when all you wanted was a simple answer.

When these things happen, systems get blamed and so does IT.

How can CIOs change digital projects so that both humans and digital automation can take their best steps forward?

1. Reimagine digital project engineering so it includes usability

When we think about digital project engineering, the goal is to design hardware and software and ensure that these components fit together into a cohesive system. The focus is on the technical, with only secondary attention being paid to the human usability of the project.

Assumptions going into a digital project are that it is naturally going to make life easier for users and save money for the company, yet consultancies like McKinsey say that there is a 70% failure rate for digital projects.

One contributing factor to digital project failure is usability. Usability problems show up in the excessive abandon rates of automated phone attendants, in websites that have complicated chats, or in internal business process automation that renders everyday work to become more, not less, complex.

Related:Organizations Every CIO Should Consider Joining

All of these undesirable outcomes can be avoided if digital project engineering includes human usability upfront.

2. Implement human factors engineering

A jet plane quality assurance expert at a major manufacturer recently explained to me that when jet planes are designed, quality assurance engineers include detailed check-outs of the logistics and instrumentation of the cockpit. The goal is to make flying the plane as intuitive and as easy as possible for pilots. Safety "
"Former CISO of Costco, Disney, and Now Exec at Axonius Talks CISO Strategies",Ryan Knisley describes his journey from the US Army to the C-suite. He also shares his professional journey along with insights into the crucial responsibilities of the CISO.,https://www.informationweek.com/it-leadership/former-ciso-of-costco-disney-and-now-exec-at-axonius-talks-ciso-strategies,InformationWeek,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt8ccb8b9b8d9d4736/687514532a813fe379dbd28e/Ryan_Knisley_Axonius_Chief_Product_Strategist.jpg?width=1280&auto=webp&quality=80&disable=upscale,Technology,"Ryan Knisley, chief product strategist for enterprise asset management company Axonius, began his career in the US Army. His goal was to work for the Secret Service, and after eight years in the Army, he did just that. Working for the Electronic Crimes Special Agent Program (ECSAP), he cultivated a range of skills that he would later apply to the private sector.

He went on to work for such companies as Walmart and PwC before stepping into the C-suite at Costco and then Disney. He intentionally limited his time in these roles but remains highly attuned to the responsibilities of the modern chief information security officer -- he talks to CISOs across a variety of industries on a regular basis. Here, he shares his professional journey and his insights into the crucial responsibilities of the CISO.

Did you have an early interest in technology? Or did that develop later in your career?

I was playing college football and realized I was not going to go to the NFL. I had always wanted to be a Secret Service agent. My dad's friend was a Secret Service agent. He said, ""You won't go from the frat house to the White House. You better join the military and do something special."" I told my dad and mom, ""I’m quitting football. I’m going to drop out of college. I’m going to join the Army.""

Related:Organizations Every CIO Should Consider Joining

I joined the army and stayed for eight years. During the last half of that time, I was a criminal investigations division (CID) special agent. I was exposed to forensic investigations in CID. When I got into the Secret Service, they were looking for people who had experience in digital evidence collection. I entered the Electronic Crimes Special Agent Program.

What kind of work did you do for the Secret Service?

I sat in the forensic lab and looked at digital evidence to support the prosecution of criminal cases that the Secret Service had taken on. My responsibility was to find the digital evidence to support those cases. Most of t"
Pentagon Contract Cuts Are a Clear Message: Bring Back American Jobs,The administration's cancellation of key Defense Department consulting contracts sends a clear message that we need to build talent pathways to ensure those jobs can be filled.,https://www.informationweek.com/it-sectors/pentagon-contract-cuts-are-a-clear-message-bring-back-american-jobs,InformationWeek,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt5c632d3aadc6f5c9/68753b4cda05e29068c3b197/pentagon-Jeremy_Christensen-alamy.jpg?width=1280&auto=webp&quality=80&disable=upscale,Technology,"While the world’s attention has been focused on the tariffs that President Trump has enacted, threatened, reversed and paused, a very different announcement by the new administration is equally as consequential.

In April, the Pentagon canceled $5.1 billion worth of third-party information technology and consulting contracts that it deemed “wasteful” and “non-essential spending.” The memorandum detailing the contract terminations singled out three companies that are listed among the federal government’s 10 highest paid consulting firms.

These actions on tariffs and contracts represent two sides of the same coin. President Trump intends for tariffs to promote American manufacturing, create American jobs and spark a reshoring boom. By nixing consulting contracts, the Department of Defense is sending a related message to multinational system integrators (historically some of the biggest culprits of moving American jobs offshore): If you wish to continue doing business with the federal government, you must invest in more US workers.

Accenture, headquartered in Dublin, is a multinational behemoth with 774,000 employees working in offices and operations in 52 countries. Nearly 40% of its employees are based in India, while only 10% are in the US. Deloitte, headquartered in London, has nearly 40% of its 460,000 employees in the US, but its stated offshoring goal is to have roughly 30% of its entire workforce operating from India. Booz Allen Hamilton, the smallest and only American firm among the three, employs more than 35,000 workers at more than 80 locations around the world.

Related:What FedRAMP Automation Means for CIOs at Government Contractors

These three are hardly alone in seeking workforce solutions across the globe. Roughly two-thirds of US companies outsource at least one department because they’re unable to find low-cost and highly skilled domestic talent in information technology and business services. Many of these outsourced jobs are in tech-enabled serv"
Organizations Every CIO Should Consider Joining,Knowledge-sharing helps CIOs become more productive and efficient. Here are five organizations that will help you stay on top of your game.,https://www.informationweek.com/it-leadership/organizations-every-cio-should-consider-joining,InformationWeek,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt11fda39e772ac35d/68712cf300e430fa7909294c/teammeating_insta_photos-AlamyStockPhoto.jpg?width=1280&auto=webp&quality=80&disable=upscale,Technology,"With the cloud, AI, and other growing technologies challenging CIOs' knowledge and management skills, it's more important than ever to stay on top of emerging trends. Whether it's providing cost transparency, optimizing budgeting, or showing ITs productivity and revenue value, CIOs need to prove clear returns on their technology investments.

Successful CIOs know that networking with colleagues to gain advice and insights on critical issues is a great way to achieve long-term career success. The fastest and easiest way to network with colleagues is to join a professional organization. Here's a look at five organizations CIOs should consider joining to boost both their IT knowledge and industry connections.

The TBM Council

The non-profit TBM Council provides resources and community participation to help CIOs meet the increasing challenge of demonstrating critical business value. The council functions as a free, global organization offering tools and best practices to help CIOs align with technology, finance, and business leaders. By providing access to training, certifications, and a community of peers facing similar challenges, the TBM Council's goal is to help CIOs make data-driven decisions and effectively communicate the value of their work.

Related:Former CISO of Costco, Disney, and Now Exec at Axonius Talks CISO Strategies

""TBM enabled us to unify financial and operational data to create a model of IT costs based on a standard taxonomy for cost categorization,"" says Susan White, CIO at the BMO Bank of Montreal. ""This allowed the company to move away from spreadsheets, adopting TBM industry-leading allocation rules that no longer relied on assumptions to allocate spend,"" she adds. ""We categorized costs into meaningful cost grouping -- applications, end-user devices, processes, etcetera -- and presented the information in one place. ""

The CIO Professional Network

Established by a former CIO, the CIO Professional Network is a member-driven, member-led, and m"
Why I want the EU to pause the AI Act — as a climate advocate,"“There is no stop the clock. There is no grace period. There is no pause.” So said Thomas Regnier, a spokesman for the European Commission, in response to calls for a pause on the EU’s AI Act. These landmark rules on artificial intelligence will, then, be rolled out according to the timeline specifi",https://thenextweb.com/news/pause-eu-ai-act-rush-risks-innovation,The Next Web (TNW),https://img-cdn.tnwcdn.com/image?fit=796%2C417&amp;url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2025%2F03%2FUntitled-design-56.jpg&amp;signature=414a065b50dcff0360824b58d4a1ee90,Technology,"“There is no stop the clock. There is no grace period. There is no pause.” So said Thomas Regnier, a spokesman for the European Commission, in response to calls for a pause on the EU’s AI Act. These landmark rules on artificial intelligence will, then, be rolled out according to the timeline specified in the legislation. The EC will ignore calls from 46 CEOs across the continent to halt the legislation for two years — including me.

This will surprise some people. My company, Kayrros, was the world’s first to track and attribute methane globally. We were cited when John Kerry announced the Global Methane Pledge, and we played a role in shaping the EU’s 2024 methane law. We have worked with countless organisations to monitor greenhouse gas emissions and other climate events — deforestation and wildfire spread, for example — and numerous businesses keen to reduce their carbon footprint. Surely, unregulated AI means an explosion in energy use and the creation of fuel-hungry data centres?

Here is my concern. The European Commission, in its zeal to pass the first major piece of AI regulation — and for the best of reasons, I should add — is missing the wood for the trees. Yes, we need guardrails. Yes, we need AI to be ethical and human-centred. Yes, AI is powerful, and powerful technologies have a way of developing in unpredictable ways. And yes, less regulation means more AI deployment, which means more energy use. But the AI Act is still a mistake.

First, AI will make industries vastly more efficient, reducing emissions for years to come. As Nvidia’s Jensen Huang has pointed out, once created, AI models perform tasks far more efficiently than traditional computing methods. For example, an AI weather model can forecast over 1,000 times more efficiently than conventional techniques can. Thus, whatever energy is invested in AI is repaid, with change, as the model is reused.

Due to recent developments in AI, such as the creation of increasingly sophisticated large langua"
