source,title,summary,published,link,image
TechCrunch,"Creative Commons debuts CC signals, a framework for an open AI ecosystem",The idea is meant to create a balance between the open nature of the internet and the demand for ever more data to fuel AI.,"Wed, 25 Jun 2025 18:02:42 +0000",https://techcrunch.com/2025/06/25/creative-commons-debuts-cc-signals-a-framework-for-an-open-ai-ecosystem/,
TechCrunch,Meta is adding AI-powered summaries to WhatsApp,"Meta announced on Wednesday that it&#8217;s adding an AI-powered summaries feature to WhatsApp. The optional new feature uses Meta AI to summarize unread messages in a chat. This summary would only be visible to you, not others in your chat, the company notes. The feature builds on the AI technology","Wed, 25 Jun 2025 17:56:49 +0000",https://techcrunch.com/2025/06/25/meta-is-adding-ai-powered-summaries-to-whatsapp/,
TechCrunch,Rubrik acquires Predibase to accelerate adoption of AI agents,Predibase helps companies train and fine-tune open source AI models which will help Rubrik customers deploy AI agents faster.,"Wed, 25 Jun 2025 17:34:25 +0000",https://techcrunch.com/2025/06/25/rubrik-acquires-predibase-to-accelerate-adoption-of-ai-agents/,
TechCrunch,"Getty drops key copyright claims against Stability AI, but UK lawsuit continues","Getty Images dropped its primary claims of copyright infringement against Stability AI on Wednesday at London’s High Court, narrowing one of the most closely watched legal fights over how AI companies use copyrighted content to train their models.","Wed, 25 Jun 2025 16:34:35 +0000",https://techcrunch.com/2025/06/25/getty-drops-key-copyright-claims-against-stability-ai-but-uk-lawsuit-continues/,
TechCrunch,"Intel hits the brakes on its automotive business, and layoffs have started","Intel has decided to close down its automotive business, a decision that will lead to layoffs.","Wed, 25 Jun 2025 16:26:33 +0000",https://techcrunch.com/2025/06/25/intel-hits-the-brakes-on-its-automotive-business-and-layoffs-have-started/,
The Verge,The photographer using AI to reconstruct stories lost to censorship,"Video screens glow softly from the floor, looping footage of salt lakes, steppe villages, and decaying nuclear test sites. Suspended above them is a large handwoven textile map, crafted by artisans in Kazakhstan. The tapestry maps 12 significant sites across Kazakhstan and the surrounding region, ea",2025-06-25T13:00:00-04:00,https://www.theverge.com/ai-artificial-intelligence/688648/almagul-menlibayeva-ai-reimagining-censored-government-work,
The Verge,Apple’s sports app now shows tennis scores,"Apple Sports, the company’s sports app for iPhone, now shows scores for tennis matches. “Tennis fans can access live scores for Grand Slam and 1000-level tournaments, and can track every point across all men’s and women’s singles matches, beginning with Wimbledon,” Apple says in a press release. The",2025-06-25T12:39:45-04:00,https://www.theverge.com/news/692872/apples-sports-app-now-shows-tennis-scores,
The Verge,"How to safely maintain, use, and dispose of your power banks","The lithium-ion battery inside your power bank isn't designed to run forever. After years of use and hundreds of charges, its performance and capacity will decline, while the risk of more severe issues increases. There are things you can do to prolong your power bank's lifespan, while also ensuring ",2025-06-25T12:25:33-04:00,https://www.theverge.com/tech/692218/power-banks-safety-disposal-how-to,
The Verge,Sam Altman takes his ‘io’ trademark battle public,"OpenAI CEO Sam Altman has put a spotlight on private conversations leading up to a rival company suing OpenAI over its upcoming device, io. On Tuesday, Altman posted screenshots of emails on X showing messages between him and Jason Rugolo, the founder of the Iyo hearing device startup that’s suing O",2025-06-25T12:12:46-04:00,https://www.theverge.com/news/692840/sam-altman-io-trademark-battle-iyo-emails,
The Verge,iPhone users on Google Fi will now get all their voicemails in the Phone app,"Google is making a big change to how Fi users on iPhone access their voicemails: instead of getting voicemails from a dedicated tab in the Fi app, iPhone users will be able to get them right from the native iOS Phone app instead. The change started rolling out on Tuesday and will be fully rolled [&#",2025-06-25T12:02:27-04:00,https://www.theverge.com/news/692824/google-fi-iphone-ios-users-phone-app-voicemails,
BBC Technology,Three network phone calls down but data still working,"The phone operator said it was ""aware of an issue affecting voice services"" and apologised for disruption.","Wed, 25 Jun 2025 11:15:35 GMT",https://www.bbc.com/news/articles/cdxlqeyw95no,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/cc24/live/c42761c0-51ae-11f0-93b8-19c0eb10ae72.jpg
BBC Technology,'Fast tech' warning as demand for cheap gadgets heats up,"A not-for-profit warns cheap, quickly disposed of gadgets could become the new  ""fast fashion"".","Tue, 24 Jun 2025 23:02:05 GMT",https://www.bbc.com/news/articles/cx20kd173z1o,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/8573/live/78428f80-5110-11f0-918d-fb788d4dd5b5.jpg
BBC Technology,Judge backs AI firm over use of copyrighted books,A US court has ruled Anthropic was not breaching copyright rules when it trained its AI model on books.,"Wed, 25 Jun 2025 09:55:59 GMT",https://www.bbc.com/news/articles/c77vr00enzyo,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/f492/live/c8b12c70-51aa-11f0-a560-0ba338db13f3.jpg
BBC Technology,US safety regulators contact Tesla over erratic robotaxis,Videos posted online appear to show the newly launched self-driving cars speeding and driving in the wrong lane.,"Tue, 24 Jun 2025 10:39:09 GMT",https://www.bbc.com/news/articles/cg75zv4gny2o,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/b3db/live/4e2120b0-50d7-11f0-8b56-497f4379fbb9.jpg
BBC Technology,Google may be forced to link to rival search platforms in the UK,The Competition and Markets Authority says it wants to open up the UK search market.,"Tue, 24 Jun 2025 09:02:12 GMT",https://www.bbc.com/news/articles/cy4ym77rkgeo,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/646f/live/67bb7840-50b4-11f0-ac0d-710245d5e9d9.png
